brand,model,years,curb_weight_kg,notes
"AC Cars","16/80","1936–1939","975","Довоенный спорткар, масса ориентировочная для стандартного кузова"
"AC Cars","Ace","1953–1963","871","Классический родстер, основа для Cobra"
"AC Cars","Aceca","1954–1963","1020","Купе на базе Ace, масса для версии с двигателем AC"
"AC Cars","Greyhound","1959–1963","1020","Четырёхместное купе на базе Ace/Aceca"
"AC Cars","3000ME","1979–1985","1085","Среднемоторное купе, одна из последних оригинальных разработок"
"AC Cars","Brooklands Ace","1993–2000","1440","Современный родстер, значительно тяжелее классических моделей"
"AC Cars","378 GT Zagato","2012","1465","Спорткар, разработанный совместно с ателье Zagato"
"AC Cars","Mk VI (GT/GTA)","2009–2013","1032","Современная Cobra с алюминиевым кузовом, масса усреднённая"
"AC Cars","Cobra GT Roadster","2024–наст.","1450","Новая модель, алюминиевый шасси и карбоновые панели"
"AC Cars","Ace (2024)","2024–наст.","1134","Современная электрическая версия родстера"
"AC Cars","Cobra GT SuperSport","2025–наст.","","Эксклюзивная лимитированная версия, масса не объявлена"
"Acura","Integra","2023–наст.","1400","Базовая версия, передний привод (3,084 lbs)"
"Acura","Integra A-Spec","2023–наст.","1420","Комплектация A-Spec (3,109–3,150 lbs)"
"Acura","Integra Type S","2024–наст.","1460","Заряженная версия, 320 л.с., механика (3,219 lbs)"
"Acura","ADX","2025–наст.","1528","Компактный кроссовер, передний привод (3,369 lbs)"
"Acura","ADX AWD","2025–наст.","1638","Полноприводная версия (3,578–3,611 lbs)"
"Acura","RDX","2019–наст.","1820","Базовая версия (4,014 lbs)"
"Acura","RDX A-Spec Advance","2019–наст.","1841","Топовая комплектация (4,058 lbs)"
"Acura","TLX","2021–наст.","1704","Базовый переднеприводный седан (3,756 lbs)"
"Acura","TLX SH-AWD","2021–наст.","1915","Полноприводная версия Type S (4,221 lbs)"
"Acura","MDX","2022–наст.","1936","Базовая версия (4,268 lbs)"
"Acura","MDX Type S","2022–наст.","2172","Заряженная версия (4,788 lbs)"
"Acura","ZDX A-Spec","2024–наст.","2459","Электрический кроссовер, базовая версия (5,421 lbs)"
"Acura","ZDX Type S","2024–наст.","2745","Электрический кроссовер, топ-версия (6,052 lbs)"
"Acura","NSX Type S","2022","1760","Гибридный суперкар, стандартная версия (3,878 lbs)"
"Aehra","SUV","2025 (план)","2000","Электрический внедорожник. Целевая снаряжённая масса — менее 2000 кг, что очень мало для электромобиля такого класса. Достигается за счёт применения лёгких композитных материалов в шасси и кузове."
"Aehra","Sedan","2026 (план)","1800","Электрический седан с дизайном «купе». Ожидается, что он будет ещё легче SUV-версии благодаря более низкому профилю и меньшему количеству материалов."
"Agrale","Marruá AM1","2005–наст.","1960","Армейский внедорожник. Базовая версия. Снаряжённая масса — 1,960 кг, полная масса — 2,460 кг. Вместимость — 4 человека[reference:2][reference:3]."
"Agrale","Marruá AM10 REC","2005–наст.","2000","Версия для разведки. Масса может незначительно отличаться от базовой из-за дополнительного оборудования."
"Agrale","Marruá AM20 CC","2005–наст.","2100","Версия для перевозки грузов и личного состава (до 750 кг). Масса немного выше за счёт усиленной конструкции[reference:4]."
"Agrale","Marruá AM22","2005–наст.","2100","Санитарная версия (карета скорой помощи). Масса сопоставима с грузовой версией."
"Agrale","Marruá AM200 G2","2015–наст.","2300","Более тяжёлая версия. Полная масса — 4,300 кг. Грузоподъёмность — 1,300 кг (с кузовом)[reference:5]."
"Aiways","U5 Standard","2020–наст.","1720","Базовая версия. Снаряжённая масса — 1,720 кг (Leergewicht). Достигается за счёт использования алюминия (52% кузова) и высокопрочных сталей (48%).""Aiways","U5 Premium","2020–наст.","1770","Топ-версия с расширенным оснащением. Масса — 1,770 кг (снаряжённая). Полная масса — до 2,155 кг.""Aiways","U5 (общий диапазон)","2020–наст.","1720–1890","Диапазон снаряжённой массы для всех версий модели U5 в зависимости от комплектации и года выпуска.""Aiways","U6","2022–наст.","1790–1920","Купеобразный кроссовер. Базовая снаряжённая масса — 1,790 кг (poids à vide). В некоторых комплектациях — до 1,920 кг (собственный вес). Длина — 4,800 мм.""Aiways","U7 ion (концепт)","2019 (концепт)","—","Концепт-кар, представленный на Auto Shanghai в 2019 году. Демонстрирует технологии искусственного интеллекта и автопилота. В серию не запущен, данных о массе нет."
"Aixam","City (дизель)","2016–наст.","350","Базовая дизельная версия (двигатель Kubota 400cc). Снаряжённая масса — 350 кг. Вмещает 2 человек."
"Aixam","City Sport (дизель)","2016–наст.","350","Спорт-версия с дизельным двигателем. Масса аналогична базовой — 350 кг."
"Aixam","City Crossline (дизель)","2016–наст.","350","Версия с внедорожным стайлингом. Масса — 350 кг."
"Aixam","City Crossover (дизель)","2016–наст.","350","Топ-версия с максимальным клиренсом и защитным обвесом. Масса — 350 кг."
"Aixam","City (электро)","2017–наст.","485","Электрическая версия с батареей. Снаряжённая масса — 485 кг (с батареями). Запас хода — до 80 км."
"Aixam","e-City Sport (электро)","2017–наст.","485","Спорт-версия с электромотором. Масса — 485 кг."
"Aixam","e-Crossline (электро)","2017–наст.","485","Электрическая версия Crossline. Масса — 485 кг."
"Aixam","e-Crossover (электро)","2017–наст.","485","Электрическая версия Crossover. Масса — 485 кг."
"Aixam","Minauto (дизель)","2016–наст.","400","Грузовой фургон на базе City. Снаряжённая масса — 400 кг. Грузоподъёмность — до 200 кг."
"Aixam","Coupe (дизель)","2012–2016","350","Классическая двухместная модель в кузове купе (снята с производства). Масса — 350 кг."
"Alfa Romeo","Giulia 2.0 Turbo","2016–наст.","1530","Седан RWD (280 л.с.)"
"Alfa Romeo","Giulia Quadrifoglio","2016–наст.","1695","Седан RWD (510 л.с. V6)"
"Alfa Romeo","Stelvio 2.0 Turbo","2017–наст.","1680","Внедорожник AWD (280 л.с.)"
"Alfa Romeo","Stelvio Quadrifoglio","2018–наст.","1905","Внедорожник AWD (505 л.с. V6)"
"Alfa Romeo","Tonale 1.5 MHEV","2022–наст.","1600","Компактный внедорожник, мягкий гибрид"
"Alfa Romeo","Tonale 1.3 PHEV","2022–наст.","1875","Компактный внедорожник, подзаряжаемый гибрид"
"Alfa Romeo","Tonale (diesel)","2022–наст.","1580","Компактный внедорожник, дизель (DIN)"
"Alfa Romeo","Junior Ibrida","2024–наст.","1380","Подкомпактный внедорожник, мягкий гибрид"
"Alfa Romeo","Junior Elettrica","2024–наст.","1620","Подкомпактный внедорожник, электрический"
"Alfa Romeo","33 Stradale (V6)","2024–наст.","1500","Купе, лимитированная серия (33 экз.)"
"Alfa Romeo","33 Stradale (BEV)","2024–наст.","2100","Купе, электрический, лимитированная серия (33 экз.)"
"Alfa Romeo","Giulia GTA","2020–2021","1520","Седан, облегченная трековая версия"
"Alfa Romeo","Giulietta","2010–2020","1355","Компактный хэтчбек, снят с производства"
"Alfa Romeo","4C","2013–2020","970","Спорт-купе, снято с производства"
"Alpina","B3 Limousine (G20)","2022–наст.","1855","Седан (4,090 lbs)"
"Alpina","B3 Touring (G21)","2022–наст.","1870","Универсал (4,123 lbs)"
"Alpina","B3 Limousine (F30)","2013–2019","1610","Седан, пред. поколение, RWD, сухая масса"
"Alpina","B3 Touring (F31)","2013–2019","1675","Универсал, пред. поколение, RWD, сухая масса"
"Alpina","B4 Gran Coupe (G26)","2022–наст.","1965","Четырехдверное купе, AWD (4,333 lbs)"
"Alpina","B4 Coupe (F32)","2014–2020","1615","Купе, базовое (3,562 lbs)"
"Alpina","B4 Cabrio (F33)","2014–2020","1840","Кабриолет, максимальная масса (4,057 lbs)"
"Alpina","B5 Limousine (G30)","2017–наст.","2055","Седан (4,533 lbs)"
"Alpina","B5 Touring (G31)","2017–наст.","2155","Универсал, рестайлинг (4,750 lbs)"
"Alpina","B5 Limousine (F10)","2010–2016","1920","Седан, LCI (4,232 lbs)"
"Alpina","B5 Touring (F11)","2010–2016","1990","Универсал, LCI (4,386 lbs)"
"Alpina","B7 (G12)","2016–2022","2035","Седан, короткая база (4,487 lbs)"
"Alpina","B7 LWB (G12)","2016–2022","2210","Седан, длинная база (4,872 lbs)"
"Alpina","B7 (F01/F02)","2010–2015","2070","Седан, длинная база (4,564 lbs)"
"Alpina","B8 Gran Coupe (G16)","2021–наст.","2100","Четырехдверное купе, базовое (4,629 lbs)"
"Alpina","XB7 (G07)","2020–наст.","2655","Внедорожник, базовый (5,856 lbs)"
"Alpina","XD7 (G07)","планировался","2300","Проект дизельного внедорожника, не выпущен"
"Alpina","D3 Limousine (G20)","2020–2022","1950","Дизельный седан (4,299 lbs)"
"Alpina","D3 Touring (G21)","2020–2022","2010","Дизельный универсал (4,430 lbs)"
"Alpina","D3 Touring (F31)","2013–2018","1585","Дизельный универсал, LCI, базовая масса (3,496 lbs)"
"Alpina","D4 Gran Coupe (G26)","2022–наст.","1945","Дизельное купе (4,290 lbs)"
"Alpina","D5 Touring (G31)","2017–наст.","2035","Дизельный универсал (4,487 lbs)"
"Alpina","D5 Limousine (F10)","2011–2016","1865","Дизельный седан, LCI (4,114 lbs)"
"Alpina","D5 Touring (F11)","2011–2016","1990","Дизельный универсал, LCI (4,387 lbs)"
"Alpina","XD3 (G01)","2022–наст.","2070","Дизельный внедорожник (4,564 lbs)"
"Alpina","XD3 (F25)","2013–2017","1910","Дизельный внедорожник, пред. поколение (4,210 lbs)"
"Alpina","XD4 (G02)","2022–наст.","2070","Дизельный внедорожник-купе (4,564 lbs)"
"Alpine","A110 (оригинальная)","1963–1977","706","Классическая берлинетта, снаряжённая масса по данным Wikipedia"
"Alpine","A110","2017–наст.","1102","Базовая версия, 252 л.с. (kerb weight)"
"Alpine","A110 S","2019–наст.","1114","Спорт-версия, 300 л.с. (kerb weight)"
"Alpine","A110 GT","2021–наст.","1119","Версия Grand Touring, 300 л.с. (kerb weight DIN)"
"Alpine","A110 R","2022–наст.","1082","Облегчённая трек-версия (kerb weight)"
"Alpine","A110 Tour de Corse 75","2022","1109","Лимитированная серия 150 экз. (poids à vide)"
"Alpine","A290","2024–наст.","1479","Электрический хот-хэтч, версия GT Performance (kerb weight DIN)"
"Alpine","A390 GT","2025–наст.","2124","Электрический кроссовер, 400 л.с. (curb weight)"
"Alpine","A390 GTS","2025–наст.","2121","Электрический кроссовер, 470 л.с. (curb weight)"
"Alpine","A310","1971–1984","980","Преемник A110 с двигателем V6"
"Alpine","GTA","1984–1991","1210","Версия V6 Turbo"
"Alpine","A610","1991–1995","1420","Последняя модель перед закрытием в 1995"
"Alpine","A106","1955–1961","550","Самая первая модель Alpine"
"Alpine","A108","1958–1965","600","Предшественник A110"
"Amberauto","А5 (JMEV GSE)","2024–наст.","1570","Электрический седан С-класса, 160 л.с., запас хода 520 км, адаптирован под климат РФ"
"Amberauto","1","2025–наст. (план)","","Городской электромобиль-квадрицикл L7, длина 3160 мм, мощность 20 л.с., запас хода 250-300 км. Точная снаряжённая масса неизвестна."
"Amberauto","3","2025–наст. (план)","","Более крупный городской электромобиль, длина 3720 мм, мощность 68 л.с., запас хода до 330 км. Точная масса неизвестна."
"Amberauto","Ambertruck JL","2024–наст.","2000","Коммерческий грузовик, дизель 2.8 л (109 л.с.), полная масса 3.5 т"
"Amberauto","Ambertruck Work","2025–наст.","1948","Пикап, полная масса 2820 кг, грузоподъёмность 872 кг"
"Apollo","Gumpert Apollo","2005–2013","1150","Суперкар с битурбо V8 от Audi, 650-800 л.с., средняя снаряжённая масса (диапазон 1,100–1,200 кг)"
"Apollo","Gumpert Apollo Sport","2007–2013","1200","Трековая версия с улучшенной аэродинамикой (базовая снаряжённая масса до 1,468 кг в полной комплектации)"
"Apollo","Gumpert Apollo R","2010–2013","1100","Облегченная трековая версия, 860 л.с."
"Apollo","Apollo Arrow (концепт)","2016","1300","Концепт-кар, битурбо V8 4.0 л, 1,000 л.с."
"Apollo","Apollo Intensa Emozione (IE)","2019–наст.","1250","Серийный гиперкар, атмосферный V12 6.3 л от Ferrari, 780 л.с., тираж 10 экз."
"Apollo","Apollo Project EVO","2022–наст.","1250","Трековый гиперкар, V12 6.3 л от Ferrari, 780-812 л.с., карбоновый монокок 165 кг, тираж 10 экз. (диапазон снаряжённой массы 1,200-1,300 кг)"
"Apollo","Apollo N (концепт)","2017","1200","Концепт на базе IE, соотношение мощность/вес 1.71 кг/л.с."
"Apollo","Apollo EVision S (концепт)","2021","","Электрический седан-концепт, 800V архитектура. Точная снаряжённая масса не раскрыта."
"Apollo","Apollo EVision X (концепт)","2021","","Электрический SUV-концепт. Точная снаряжённая масса не раскрыта."
"Aptera","2e (Typ-1e)","2009–2011","680","Электромобиль, Cd 0.15, запас хода 160 км, серийно не производился"
"Aptera","2h (Typ-1h)","2009–2011","816","Гибридная версия, серийно не производилась"
"Aptera","Solar EV (базовая 60 кВт·ч)","2025 (план)","816","Современный электромобиль, запас хода 600 миль"
"Aptera","Solar EV (версия 25 кВт·ч)","2025 (план)","","Запас хода 400 км, точная масса не разглашается"
"Aptera","Solar EV (версия 100 кВт·ч)","2025 (план)","998","Запас хода 1000 миль, менее 1000 кг"
"Aptera","Launch Edition","2025 (план)","816","Финальный дизайн и комплектация"
"Arcfox","Lite","2017–2020","870","Городской двухместный микро-кар"
"Arcfox","T1","2025–наст.","1420","Городской хэтчбек, 95 л.с., батарея 42.3 кВт⋅ч, запас хода 425 км (CLTC)"
"Arcfox","Alpha S5","2024–наст.","1920","Базовая версия, седан-фастбек (снаряжённая масса от 1,920 до 2,040 кг в зависимости от модификации)"
"Arcfox","Alpha S","2021–наст.","1900","Базовая версия, лифтбек (снаряжённая масса от 1,900 до 2,245 кг в зависимости от модификации)"
"Arcfox","Alpha T","2021–наст.","1935","Базовая версия, SUV (снаряжённая масса от 1,935 до 2,125 кг в зависимости от модификации)"
"Arcfox","Kaola","2023–наст.","1800","Компактвэн для семей с детьми"
"Arcfox","GT","2020–наст.","1840","Электрический гиперкар, разгон до 100 км/ч за 2.6 с"
"Arcfox","S3","2025–наст.","1630","Базовая версия, седан среднего класса (снаряжённая масса от 1,630 до 2,005 кг в зависимости от модификации)"
"Arrinera","Hussarya (прототип)","2011","1300","Сухая масса, первый прототип, также известен как Venocara (неофициально)"
"Arrinera","Hussarya (дорожная версия)","2014–2016","1300","Снаряжённая масса (2,900 lbs), кузов из композитов и карбона, тираж ~100 экз./год"
"Arrinera","Hussarya GT","2016–наст.","1250","Гоночная версия FIA GT3/GT4, 1,250 кг (2,756 lbs), двигатель GM LS7 V8 6.2 л (~500 л.с.), победа в классе на Goodwood FoS 2016"
"Arrinera","Hussarya 33","2016 (анонс)","1300","Лимитированная версия (33 экз.), двигатель GM LT4 V8 с наддувом (~650 л.с.), масса оценочная"
"Aspark","Owl (прототип)","2017","850","Ранний прототип с карбоновым кузовом 50 кг, мощность 430 л.с."
"Aspark","Owl (предсерийный)","2018","1500","Модернизированная версия, мощность 1,166 л.с."
"Aspark","Owl (серийная версия, 2019 г.)","2019–2024","1900","Серийная модель с батареей 64 кВт·ч, мощность 2,012 л.с."
"Aspark","Owl SP600 (прототип)","2024","2000","Рекордный прототип, достигший скорости 438.7 км/ч."
"Aspark","Owl SP600 (дорожная версия)","2024–наст.","","Дорожная версия рекордного гиперкара. Официальная масса не объявлена."
"Aspark","Owl Roadster","2025–наст.","1900","Открытая версия мощностью 1,953 л.с., тираж 20 экз."
"Aston Martin","DB12","2023–наст.","1788","Super Tourer, 4.0 л V8 AMG (680 л.с.)[reference:38][reference:39]"
"Aston Martin","DB12 Volante","2023–наст.","1898","Кабриолет, масса увеличена из-за усиления кузова[reference:40]"
"Aston Martin","Vantage","2024–наст.","1670","Спорткар, 4.0 л V8 AMG (665 л.с.). Снаряженная масса от 1670 кг[reference:41]"
"Aston Martin","Vantage S","2025–наст.","","Версия с форсированным двигателем (680 л.с.) и улучшенной аэродинамикой[reference:42]"
"Aston Martin","Vanquish","2024–наст.","1774","Флагманский Grand Tourer, 5.2 л V12 (835 л.с.). Сухая масса[reference:43]"
"Aston Martin","Vanquish Volante","2025–наст.","","Кабриолет, самый мощный серийный Aston Martin с открытым верхом[reference:44]"
"Aston Martin","DBX707","2022–наст.","2245","Кроссовер с 4.0 л V8 (707 л.с.)[reference:45]"
"Aston Martin","DBS","2018–2024","1693","Grand Tourer, 5.2 л V12 (715 л.с.). Снаряженная масса от 1693 кг[reference:46][reference:47]"
"Aston Martin","Valkyrie","2021–2024","1030","Гиперкар, 6.5 л V12 Cosworth (1,160 л.с.)[reference:48]"
"Aston Martin","Valhalla","2025–наст.","1655","Суперкар, 4.0 л V8 гибрид (1,079 л.с.)[reference:49]"
"Aston Martin","DB11","2016–2023","1760","Предшественник DB12, 4.0 л V8 (528 л.с.)[reference:50][reference:51]"
"Aston Martin","V12 Speedster","2021–2022","1750","Лимитированная модель (88 экз.) без крыши и лобового стекла[reference:52]"
"Aston Martin","DB9","2004–2016","1710","Grand Tourer с 5.9 л V12 (450 л.с.)[reference:53][reference:54]"
"Aston Martin","Virage","2011–2012","1740","Модель между DB9 и DBS, 5.9 л V12 (490 л.с.)[reference:55][reference:56]"
"Atom","Кама-2185 (базовая версия)","2025–наст.","1977","Снаряжённая масса от 1955 до 1998 кг. Стандартная 4-местная версия."
"Atom","Кама-21852 (такси)","2025–наст.","1950","Версия для такси без переднего пассажирского сиденья. Масса оценочная."
"Atom","Delivery (курьер)","2025–наст.","1950","Грузовая модификация для доставки. Грузоподъёмность до 360 кг. Масса оценочная."
"Atom","Atom (ранний прототип)","2023","1900","Предсерийный прототип. Предварительная снаряжённая масса — 1900 кг."
"Audi","A1 Sportback","2010–2022","1165","Компактный хэтчбек, 1.0 TFSI с МКПП"
"Audi","A3 Sedan (8V)","2013–2020","1250","Базовая версия 1.4 TFSI"
"Audi","A3 Sedan (8Y)","2020–наст.","1415","2.0 TFSI Quattro, S-tronic"
"Audi","A4 Sedan (B9)","2015–2024","1550","Базовая версия"
"Audi","A4 Avant (B9)","2015–2024","1610","Универсал"
"Audi","A5 Sportback (F5)","2016–2024","1535","Лифтбек, 2.0 TFSI"
"Audi","A5 Coupe (F5)","2016–2024","1565","Купе, 2.0 TFSI Quattro"
"Audi","A5 Cabriolet (F5)","2016–2024","1655","Кабриолет, 2.0 TFSI"
"Audi","A6 Sedan (C8)","2018–наст.","1705","Базовая версия 40 TDI"
"Audi","A6 Avant (C8)","2018–наст.","1705","Универсал, 40 TDI"
"Audi","A6 e-tron","2024–наст.","2100","Электрический седан"
"Audi","A7 Sportback (C8)","2018–наст.","1660","Лифтбек, 45 TFSI"
"Audi","A8 (D5)","2017–наст.","1880","Представительский седан, 3.0 TDI"
"Audi","A8 L (D5)","2017–наст.","1940","Удлиненная версия"
"Audi","Q2","2016–2024","1280","Компактный кроссовер, 1.0 TFSI"
"Audi","Q3","2018–наст.","1595","Базовая версия"
"Audi","Q3 Sportback","2019–наст.","1540","Купе-кроссовер"
"Audi","Q4 e-tron","2021–наст.","2120","Электрический кроссовер, MEB"
"Audi","Q4 Sportback e-tron","2021–наст.","2135","Купе-кроссовер, электрический"
"Audi","Q5","2017–2024","1740","Базовая версия 40 TDI"
"Audi","Q5 Sportback","2021–2024","1775","Купе-кроссовер, Mild Hybrid"
"Audi","Q6 e-tron","2023–наст.","2325","Электрический кроссовер, PPE"
"Audi","Q7","2015–наст.","1995","Семиместный кроссовер, 3.0 TDI"
"Audi","Q8","2018–наст.","2145","Купе-кроссовер"
"Audi","Q8 e-tron","2019–наст.","2595","Электрический кроссовер, 55 Quattro"
"Audi","Q8 Sportback e-tron","2023–наст.","2605","Купе-кроссовер, электрический"
"Audi","e-tron GT","2021–наст.","2340","Электрический спортседан, J1"
"Audi","RS e-tron GT","2021–наст.","2370","Заряженный электрический спортседан"
"Audi","TT Coupe (8S)","2014–2023","1285","Спорткупе, базовая версия"
"Audi","TTS Coupe (8S)","2014–2023","1400","Заряженное купе"
"Audi","TT RS Coupe (8S)","2016–2023","1490","Топ-версия, 2.5 TFSI (400 л.с.)"
"Audi","R8 Coupe (4S)","2015–2023","1590","Суперкар, RWD"
"Audi","R8 Spyder (4S)","2016–2023","1695","Кабриолет, V10 RWD"
"Audi","S3 Sedan (8Y)","2020–наст.","1575","Спортседан, 2.0 TFSI Quattro"
"Audi","S4 Sedan (B9)","2016–2024","1765","Спортседан, 3.0 TFSI V6"
"Audi","S5 Sportback (F5)","2016–2024","1735","Спорт-лифтбек, 3.0 TFSI V6"
"Audi","S6 Sedan (C8)","2019–наст.","2035","Спортседан, 3.0 TFSI V6"
"Audi","S7 Sportback (C8)","2019–наст.","2080","Спорт-лифтбек, 3.0 TFSI V6"
"Audi","S8 (D5)","2019–наст.","2305","Заряженный седан, 4.0 TFSI V8"
"Audi","RS3 Sportback (8Y)","2021–наст.","1510","Горячий хэтчбек, 2.5 TFSI (400 л.с.)"
"Audi","RS3 Sedan (8Y)","2021–наст.","1515","Седан, 2.5 TFSI (400 л.с.)"
"Audi","RS4 Avant (B9)","2017–2024","1790","Универсал, 2.9 TFSI V6 (450 л.с.)"
"Audi","RS5 Coupe (F5)","2017–2024","1760","Спорткупе, 2.9 TFSI V6 (450 л.с.)"
"Audi","RS5 Sportback (F5)","2018–2024","1795","Лифтбек, 2.9 TFSI V6 (450 л.с.)"
"Audi","RS6 Avant (C8)","2019–наст.","2025","Супер-универсал, 4.0 TFSI V8 (600 л.с.)"
"Audi","RS6 Avant Performance","2023–наст.","2150","Форсированная версия, 630 л.с."
"Audi","RS7 Sportback (C8)","2019–наст.","2065","Лифтбек, 4.0 TFSI V8 (600 л.с.)"
"Audi","RS Q3","2019–наст.","1775","Заряженный кроссовер, 2.5 TFSI (400 л.с.)"
"Audi","RS Q8","2020–наст.","2390","Заряженный купе-кроссовер, 4.0 TFSI V8 (600 л.с.)"
"Aura","Lada Aura (1.8 л, 122 л.с.)","2024–наст.","1400","Бизнес-седан с мотором 1.8 л (122 л.с.) и вариатором"
"Aura","Lada Aura, версия Premier","2024–наст.","1400","Базовая комплектация, 7-дюймовая мультимедиа, 16-дюймовые диски"
"Aura","Lada Aura, версия Status","2024–наст.","1400","Топ-версия с кожаным салоном, 10-дюймовой мультимедиа, 17-дюймовыми дисками"
"Aura","Lada Aura, версия 2026 г.","2026–наст.","1400","Обновлённая версия с бесключевым доступом, дистанционным запуском и новой мультимедиа"
"Aura","Lada Aura (версия Такси)","2024–наст.","","Специализированная версия для такси без переднего пассажирского сиденья. Точная снаряжённая масса не разглашается, но предположительно аналогична стандартной (~1,400 кг)."
"Aura","Lada e-Aura (электрическая)","Концепт (2025)","1450","Электрический концепт, запас хода 350 км, масса увеличена на 50 кг"
"Avatr","Avatr 11 EV (RWD)","2022–наст.","2160-2310","Среднеразмерный кроссовер, заднеприводная электрическая версия. Масса зависит от емкости батареи"
"Avatr","Avatr 11 EV (AWD)","2022–наст.","2410","Среднеразмерный кроссовер, полноприводная версия (578 л.с.). Разгон 0-100 км/ч: 3.9 с"
"Avatr","Avatr 11 REEV (RWD)","2024–наст.","2240","Среднеразмерный кроссовер, гибридная версия с ДВС 1.5 л. Общий запас хода: 1065 км"
"Avatr","Avatr 12 EV (RWD)","2023–наст.","2180-2255","Премиальный фастбэк, заднеприводная электрическая версия. Масса зависит от комплектации"
"Avatr","Avatr 12 EV (AWD)","2023–наст.","2300-2365","Премиальный фастбэк, полноприводная электрическая версия"
"Avatr","Avatr 06 EV (RWD)","2024–наст.","2210","Среднеразмерный седан, заднеприводная электрическая версия"
"Avatr","Avatr 06 EV (AWD)","2024–наст.","2320","Среднеразмерный седан, полноприводная версия (598 л.с.)"
"Avatr","Avatr 06 REEV","2024–наст.","2120","Среднеразмерный седан, гибридная модификация"
"Avatr","Avatr 07 EV (RWD)","2024–наст.","2315","Среднеразмерный кроссовер, заднеприводная электрическая версия"
"Avatr","Avatr 07 EV (AWD)","2024–наст.","2434","Среднеразмерный кроссовер, полноприводная электрическая версия"
"Avatr","Avatr 07 REEV (RWD)","2024–наст.","2240","Среднеразмерный кроссовер, гибридная версия с задним приводом"
"Avatr","Avatr 07 REEV (AWD)","2024–наст.","2326","Среднеразмерный кроссовер, полноприводная гибридная версия"
"BAIC","Beijing X55 / Mofang / Rubik's Cube","2022–наст.","1550","Компактный кроссовер, 1.5T (188 л.с.)"
"BAIC","Beijing X75","2024–наст.","1700","Среднеразмерный кроссовер, 1.5T (177 л.с.)"
"BAIC","BJ40 (бензин)","2024–наст.","2080","Рамный внедорожник, 2.0T (218 л.с.), полный привод"
"BAIC","BJ40 SE (2-дверный)","2024–наст.","1950","Укороченный рамный внедорожник, 2.0T (225 л.с.)"
