name,is_dangerous
Австралийская овчарка,false
Австралийская пастушья собака,false
Австралийский келпи,false
Австралийский шелковистый терьер,false
Австрийская гончая,false
Австрийский брудастый бракк,false
Австрийский пинчер,false
Азавак,false
Айну,true
Акабаш (Акбаш),true
Акита-ину,false
Аляскинский маламут,false
Американская акита,false
Американский бульдог,true_new
Американский водяной спаниель,false
Американский голый терьер,false
Американский кокер-спаниель,false
Американский питбультерьер,true
Американский стаффордширский терьер,true
Американский фоксхаунд,false
Анатолийская овчарка (Анатолийский карабаш),true
Английский бульдог,false
Английский кокер-спаниель,false
Английский мастиф,true
Английский пойнтер,false
Английский сеттер,false
Английский спрингер-спаниель,false
Английский той-терьер,false
Английский фоксхаунд,false
Аппенцеллер зенненхунд,false
Арденнский бувье,false
Артезиано-нормандский бассет,false
Артуазская гончая,false
Афганская борзая,false
Аффенпинчер,false
Барбет,false
Басенджи,false
Бассет-хаунд,false
Белая швейцарская овчарка,false
Бельгийская овчарка (все разновидности),true_new
Бельгийский гриффон,false
Бельгийский мастиф,true
Бергамская овчарка,false
Бернская гончая,false
Бернский зенненхунд,false
Бивер-йоркширский терьер,false
Бигль,false
Бишон фризе,false
Бладхаунд,false
Бобтейл (Староанглийская овчарка),false
Богемская овчарка,false
Болгарская овчарка,true_new
Болоньез,false
Большой вандейский бассет-гриффон,false
Большой мюнстерлендер,false
Большой швейцарский зенненхунд,false
Бордер-колли,false
Бордер-терьер,false
Бордоский дог,true
Бородатый колли,false
Босерон,false
Бостон-терьер,false
Бразильский фила,true_new
Бразильский терьер,false
Бретонский эпаньол,false
Бриар,false
Брохольмер,false
Брюссельский гриффон,false
Бульмастиф,true
Бультерьер,true
Веймаранер,false
Вельш-корги кардиган,false
Вельш-корги пемброк,false
Вельштерьер,false
Венгерская выжла (короткошёрстная),false
Венгерская выжла (жесткошёрстная),false
Вест-хайленд-уайт-терьер,false
Веттерхун,false
Волчья собака Саарлоса,false
Вольпино итальяно,false
Восточноевропейская овчарка,true
Гаванский бишон,false
Гамильтонская гончая,false
Ганноверская гончая,false
Глен оф Имаал терьер,false
Голландская овчарка,true_new
Голландский смаусхонд,false
Голландский схапендус,false
Горская гончая,true
Грейхаунд,false
Грецкая овчарка,true
Гриффон Кортальса,false
Далматин,false
Денди-динмонт-терьер,false
Джек-рассел-терьер,false
Дирхаунд,false
Доберман (Доберман-пинчер),true
Доберман Владека Рошины,true
Дратхаар,false
Дункер,false
Евразиер,false
Западносибирская лайка,false
Золотистый ретривер,false
Ирландский водяной спаниель,false
Ирландский волкодав,true
Ирландский красный сеттер,false
Ирландский красно-белый сеттер,false
Ирландский мягкошёрстный пшеничный терьер,false
Ирландский терьер,false
Исландская собака,false
Испанская гончая,false
Испанский гальго,false
Испанский мастиф,true_new
Испанский спаниель,false
Итальянская гончая,false
Итальянский бракк,false
Йоркширский терьер,false
Кавалер-кинг-чарльз-спаниель,false
Кавказская овчарка,true
Ка де Бо,false
Канарская собака (перро де пресо канарио),true
Кангал,true
Кане-корсо,true
Карельская медвежья собака,true
Карело-финская лайка,false
Карликовый пинчер (Цвергпинчер),false
Карликовый пудель,false
Карликовый шнауцер (Цвергшнауцер),false
Каталонская овчарка,false
Кенгуровая собака,true
Керн-терьер,false
Кинг-чарльз-спаниель,false
Китайская хохлатая собака,false
Кламбер-спаниель,false
Колли (длинношёрстный),false
Колли (короткошёрстный),false
Комондор,false
Континентальный той-спаниель (папийон),false
Котон де Тулеар,false
Крашская овчарка,false
Ксолоитцкуинтли,false
Кувас,false
Курцхаар,false
Лабрадор-ретривер,false
Лангедокская пастушья собака,true
Ланкаширский хилер,false
Лапландская оленегонная собака,false
Левретка,false
Леопардовая гончая,true
Лхаса апсо,false
Малая львиная собака,false
Малая мюнстерлендер,false
Мальтийская болонка,false
Мальорский бульдог (терро де мальоркин),true
Маремма (маремоанхо-абруцкая пастушья собака),true
Мексиканская голая собака,false
Миниатюрный бультерьер,false
Мопс,false
Московская сторожевая,true
Муди,false
Немецкая овчарка,true
Немецкий боксёр,false
Немецкий дог,true
Немецкий охотничий терьер (ягдтерьер),false
Немецкий пинчер,false
Немецкий шпиц,false
Ненецкая лайка,false
Новошотландский ретривер,false
Норвежская лосиная лайка,false
Норвежский лундехунд,false
Норвич-терьер,false
Норфолк-терьер,false
Ньюфаундленд,false
Овчарка Дауфмана,true
Оттерхаунд,false
Папийон,false
Парсон-рассел-терьер,false
Пекинес,false
Перуанская голая собака,false
Пикардийская овчарка,false
Пиренейская горная собака,false
Пиренейская овчарка (длинношёрстная),false
Пиренейская овчарка (с гладкой шерстью на морде),false
Пиренейский мастиф,true_new
Поденко ибиценко,false
Поденко канарио,false
Польская низинная овчарка,false
Польская подгалянская овчарка,false
Польский огар,false
Польский харт,false
Померанский шпиц,false
Португальская водяная собака,false
Португальская овчарка,false
Португальский поденгу,false
Пражский крысарик,false
Пти-брабансон,false
Пудель (большой, малый, карликовый, той),false
Пули,false
Пуми,false
Ризеншнауцер,true
Родезийский риджбек,false
Ротвейлер,true
Румынская карпатская овчарка,true_new
Румынская миоритская овчарка,true_new
Румынская овчарка,true
Русская гончая,false
Русская псовая борзая,false
Русский охотничий спаниель,false
Русский той-терьер,false
Русский чёрный терьер,false
Салюки,false
Самоедская собака,false
Сенбернар,true_new
Сербская гончая,false
Сербский трёхцветный гончак,false
Сиба-ину,false
Сибирский хаски,false
Силки-терьер,false
Скай-терьер,false
Словацкая гончая,false
